Rank,Name,Year,Rating
136, Top Gun: Maverick,2022,8.2 (683K)
137, Judgment at Nuremberg,1961,8.3 (85K)
138, All About Eve,1950,8.2 (138K)
139, The Truman Show,1998,8.2 (1.2M)
140, There Will Be Blood,2007,8.2 (638K)
141, Shutter Island,2010,8.2 (1.4M)
142, Casino,1995,8.2 (560K)
143, Ran,1985,8.2 (135K)
144, Jurassic Park,1993,8.2 (1.1M)
145, The Sixth Sense,1999,8.2 (1M)
146, El Laberinto Del Fauno,2006,8.2 (700K)
147, Unforgiven,1992,8.2 (434K)
148, A Beautiful Mind,2001,8.2 (982K)
149, No Country for Old Men,2007,8.2 (1.1M)
150, The Thing,1982,8.2 (463K)
151, The Treasure of the Sierra Madre,1948,8.2 (132K)
152, Kill Bill: Vol,2003,8.2 (1.2M)
153, Yojimbo,1961,8.2 (131K)
154, Monty Python and the Holy Grail,1975,8.2 (568K)
155, The Great Escape,1963,8.2 (258K)
156, Finding Nemo,2003,8.2 (1.1M)
157, Rashōmon,1950,8.2 (179K)
158, Hauru No Ugoku Shiro,2004,8.2 (444K)
159, Prisoners,2013,8.2 (802K)
160, The Elephant Man,1980,8.2 (257K)
161, Chinatown,1974,8.1 (348K)
162, Dial M for Murder,1954,8.2 (188K)
163, Gone with the Wind,1939,8.2 (333K)
164, V for Vendetta,2005,8.2 (1.2M)
165," Lock, Stock and Two Smoking Barrels",1998,8.1 (613K)
166, El Secreto De Sus Ojos,2009,8.2 (221K)
167, Raging Bull,1980,8.1 (378K)
168, Inside Out,2015,8.1 (779K)
169," Three Billboards Outside Ebbing, Missouri",2017,8.1 (552K)
170, Trainspotting,1996,8.1 (723K)
171, The Bridge on the River Kwai,1957,8.1 (232K)
172, Spider-Man: No Way Home,2021,8.2 (869K)
173, Fargo,1996,8.1 (722K)
174, Klaus,2019,8.2 (188K)
175, Warrior,2011,8.1 (496K)
176, Catch Me If You Can,2002,8.1 (1.1M)
177, Godzilla Minus One,2023,8.3 (46K)
178, Gran Torino,2008,8.1 (812K)
179, My Neighbour Totoro,1988,8.1 (377K)
180, Million Dollar Baby,2004,8.1 (719K)
181, Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (942K)
182, Bacheha-Ye Aseman,1997,8.2 (80K)
183, 12 Years a Slave,2013,8.1 (738K)
184, Blade Runner,1982,8.1 (819K)
185, Before Sunrise,1995,8.1 (337K)
186, The Grand Budapest Hotel,2014,8.1 (881K)
187, Ben-Hur,1959,8.1 (252K)
188, Barry Lyndon,1975,8.1 (182K)
189, Gone Girl,2014,8.1 (1.1M)
190, Hacksaw Ridge,2016,8.1 (589K)
191, The Gold Rush,1925,8.1 (118K)
192, In the Name of the Father,1993,8.1 (186K)
193, Salinui Chueok,2003,8.1 (214K)
194, Dead Poets Society,1989,8.1 (541K)
195, On the Waterfront,1954,8.1 (164K)
196, The General,1926,8.1 (98K)
197, The Deer Hunter,1978,8.1 (360K)
198, Relatos Salvajes,2014,8.1 (215K)
199, Mad Max: Fury Road,2015,8.1 (1.1M)
200," Monsters, Inc",2001,8.1 (973K)
201, Sherlock Jr,1924,8.2 (56K)
202, The Third Man,1949,8.1 (181K)
203, Smultronstället,1957,8.1 (114K)
204, Le Salaire De La Peur,1953,8.2 (66K)
205, Jaws,1975,8.1 (656K)
206, How to Train Your Dragon,2010,8.1 (795K)
207, Mary and Max,2009,8.1 (186K)
208, Mr,1939,8.1 (121K)
209, Ford v,2019,8.1 (461K)
210, Ratatouille,2007,8.1 (817K)
211, Tokyo Story,1953,8.1 (68K)
212, Det Sjunde Inseglet,1957,8.1 (197K)
213, Room,2015,8.1 (448K)
214, The Big Lebowski,1998,8.1 (856K)
215, Rocky,1976,8.1 (625K)
216, Logan,2017,8.1 (825K)
217, Spotlight,2015,8.1 (500K)
218, Hotel Rwanda,2004,8.1 (371K)
219, Platoon,1986,8.1 (437K)
220, The Terminator,1984,8.1 (919K)
221, La passion de Jeanne d'Arc,1928,8.1 (60K)
222, Before Sunset,2004,8.1 (286K)
223, Poor Things,2023,8.1 (165K)
224, The Best Years of Our Lives,1946,8.1 (70K)
225, La haine,1995,8.1 (195K)
226, Jai Bhim,2021,8.7 (216K)
227, The Exorcist,1973,8.1 (452K)
228, Rush,2013,8.1 (510K)
229, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M)
230, Network,1976,8.1 (170K)
231, Stand by Me,1986,8.1 (439K)
232, The Wizard of Oz,1939,8.1 (426K)
233, The Incredibles,2004,8.0 (803K)
234, Hachi: A Dog's Tale,2009,8.1 (309K)
235, Into the Wild,2007,8.1 (655K)
236, My Father and My Son,2005,8.2 (92K)
237, Ah-ga-ssi,2016,8.1 (171K)
238, To Be or Not to Be,1942,8.1 (43K)
239, The Sound of Music,1965,8.1 (259K)
240, The Grapes of Wrath,1940,8.1 (99K)
241, La battaglia di Algeri,1966,8.1 (65K)
242, Groundhog Day,1993,8.0 (681K)
243, Amores perros,2000,8.1 (252K)
244, Rebecca,1940,8.1 (146K)
245, Cool Hand Luke,1967,8.1 (188K)
246, The Iron Giant,1999,8.1 (225K)
247, The Help,2011,8.1 (490K)
248, It Happened One Night,1934,8.1 (112K)
249, The 400 Blows,1959,8.1 (128K)
250, Dances with Wolves,1990,8.0 (289K)
